"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"2325","La Salle","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325","2325",NA,NA
"322","Lafayette","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322","322",NA,NA
"2320","Lamar","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320","2320",NA,NA
"2330","Le Moyne","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330","2330",NA,NA
"2329","Lehigh","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329","2329",NA,NA
"2335","Liberty","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335","2335",NA,NA
"288","Lipscomb","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288","288",NA,NA
"2031","Little Rock","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031","2031",NA,NA
"299","Long Beach St","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299","299",15,1
"112358","Long Island","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358","112358",NA,NA
"2344","Longwood","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344","2344",16,1
"309","Louisiana","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309","309",NA,NA
"2348","Louisiana Tech","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348","2348",NA,NA
"97","Louisville","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97",NA,NA
"2350","Loyola Chicago","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350","2350",NA,NA
"2352","Loyola MD","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352","2352",NA,NA
"2351","LMU","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351","2351",NA,NA
"311","Maine","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311","311",NA,NA
"2363","Manhattan","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363","2363",NA,NA
"2368","Marist","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368","2368",NA,NA
"269","Marquette","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269","269",2,19
"276","Marshall","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276","276",NA,NA
"2379","MD Eastern","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379","2379",NA,NA
